drug1,drug2,severity,max_prr,n_conditions
Abciximab,Digoxin,severe,60.0,50
Acenocoumarol,Acyclovir,none,40.0,38
Acetaminophen,Dihydroergocryptine,none,20.0,12
Acetaminophen,Glycopyrronium,none,30.0,66
Acetaminophen,Riluzole,none,20.0,44
Acetaminophen,Terconazole,severe,60.0,186
Acetylcysteine,Dronedarone,none,30.0,17
Acipimox,Furosemide,severe,330.0,17
Albendazole,Omeprazole,none,30.0,43
"Albumin Human, Usp",Ondansetron,severe,70.0,237
"Albumin Human, Usp",Prednisone,severe,90.0,194
Albuterol,Alginic Acid,none,40.0,31
Albuterol,Vitamin E,severe,60.0,1065
Alemtuzumab,Rabbit Anti-Human T-Lymphocyte Globulin,severe,50.0,57
Alemtuzumab,Voriconazole,none,40.0,137
Alendronate,Mesalamine,severe,70.0,543
Alfentanil,Metoclopramide,severe,90.0,71
Alteplase,Ticlopidine,none,20.0,13
Amiloride,Daunorubicin,none,30.0,40
Amiodarone,Interferon Beta-1A,none,20.0,40
Amlodipine,Amiloride,none,40.0,453
Amlodipine,Basiliximab,severe,240.0,226
Amlodipine,Cortisone,severe,50.0,463
Amlodipine,Estramustine,none,30.0,52
Amlodipine,Grape Seed Extract,none,10.0,14
Amlodipine,Lanthanum Carbonate,severe,220.0,441
Anagrelide,Deferasirox,none,20.0,59
Anagrelide,Gabapentin,none,30.0,51
Anastrozole,Methyldopa,none,30.0,57
Anastrozole,Tiotropium,severe,60.0,442
Antithrombin Iii,Sodium Bicarbonate,none,20.0,23
Aripiprazole,Meperidine,severe,45.0,85
Armodafinil,Ondansetron,none,40.0,167
Ascorbic Acid,Ferrous Sulfate,severe,50.0,777
Aspirin,Nabumetone,severe,80.0,1001
Aspirin,Quinine,severe,180.0,1312
Atorvastatin,Sunitinib,severe,50.0,637
Atropine,Furosemide,severe,90.0,802
Atropine,Montelukast,severe,50.0,111
Azithromycin,Exenatide,severe,60.0,164
Azithromycin,Nelfinavir,none,33.3333,84
Bamifylline,Tiotropium,severe,110.0,98
Benazepril,Ofloxacin,none,10.0,19
Benserazide,Folic Acid,none,30.0,57
Benserazide,Gliclazide,none,40.0,36
Benzonatate,Magnesium Oxide,none,40.0,176
Bevacizumab,Linagliptin,none,35.0,68
Bevacizumab,Penicillin,severe,70.0,92
Bifidobacterium Lactis,Telmisartan,none,30.0,31
Biotin,Naproxen,none,40.0,196
Bisacodyl,Dronedarone,none,20.0,26
Brentuximab Vedotin,Levofloxacin,severe,50.0,34
Brimonidine,Ofloxacin,none,30.0,32
Bromocriptine,Vitamin D,none,30.0,48
Brotizolam,Cloxazolam,none,30.0,64
Budesonide,Cyproheptadine,none,30.0,51
Buflomedil,Urapidil,none,20.0,15
Bumetanide,Acetylcysteine,none,40.0,106
Bumetanide,Cisplatin,none,10.0,15
Bumetanide,Hydroxyzine,severe,50.0,341
Bumetanide,Oxytocin,none,30.0,118
Buprenorphine,Dobutamine,severe,70.0,133
Buprenorphine,Pimobendan,none,20.0,28
Buprenorphine,Temsirolimus,none,20.0,11
Bupropion,Almotriptan,none,15.0,42
Buspirone,Cyclosporine,none,30.0,77
Buspirone,Ethanol,severe,85.0,79
Buspirone,Imipramine,severe,50.0,189
Butalbital,Fluorouracil,none,20.0,19
Calcium,Leflunomide,severe,70.0,897
Calcium Acetate,Calcium,none,20.0,96
Calcium Acetate,Clonazepam,none,40.0,211
Calcium Carbonate,Chlorpromazine,none,20.0,55
Calcium Carbonate,Dalfampridine,severe,50.0,186
Calcium Carbonate,Nilotinib,none,15.0,72
Calcium Citrate,Leucovorin,none,10.0,39
Candesartan,Fluconazole,severe,210.0,474
Candesartan,Ramelteon,none,30.0,32
Candesartan,Vardenafil,none,20.0,61
Canrenoate,Metolazone,none,30.0,26
Canrenoate,Rosuvastatin,none,20.0,17
Capsaicin,Sodium Chloride,none,20.0,16
Captopril,Fluorouracil,severe,50.0,97
Captopril,Gabapentin,none,40.0,523
Carisoprodol,Tolterodine,severe,60.0,362
Carmustine,Methotrexate,severe,90.0,245
Cefepime,Aprotinin,severe,140.0,12
Ceftriaxone,Hydroxyethyl Starch 130-0.4,none,10.0,22
Ceftriaxone,Isosorbide,severe,70.0,289
Celecoxib,Silymarin,none,20.0,38
Celecoxib,"Synthetic Conjugated Estrogens, B",none,10.0,13
Cephalexin,Dichloralphenazone,severe,70.0,142
Cephalexin,Pimecrolimus,none,40.0,67
